"filename", "language", "JavaScript", "JSON", "CSS", "XML", "comment", "blank", "total"
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\images\small-logos\github.svg", "XML", 0, 0, 0, 10, 0, 0, 10
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\images\small-logos\google-webdev.svg", "XML", 0, 0, 0, 11, 0, 0, 11
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\images\small-logos\icon-bulb.svg", "XML", 0, 0, 0, 37, 0, 0, 37
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\images\small-logos\logo-asana.svg", "XML", 0, 0, 0, 16, 0, 0, 16
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\images\small-logos\logo-atlassian.svg", "XML", 0, 0, 0, 16, 0, 0, 16
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\images\small-logos\logo-invision.svg", "XML", 0, 0, 0, 10, 0, 0, 10
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\images\small-logos\logo-jira.svg", "XML", 0, 0, 0, 21, 0, 0, 21
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\images\small-logos\logo-slack.svg", "XML", 0, 0, 0, 12, 0, 0, 12
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\images\small-logos\logo-spotify.svg", "XML", 0, 0, 0, 9, 0, 0, 9
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\images\small-logos\logo-xd.svg", "XML", 0, 0, 0, 11, 0, 0, 11
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\base\borders.js", "JavaScript", 25, 0, 0, 0, 21, 9, 55
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\base\boxShadows.js", "JavaScript", 90, 0, 0, 0, 21, 8, 119
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\base\breakpoints.js", "JavaScript", 11, 0, 0, 0, 19, 4, 34
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src\assets\theme-dark\base\colors.js", "JavaScript", 199, 0, 0, 0, 19, 48, 266
